약국명,주소,대표전화,행정구,시작(월),마감(월),시작(화),마감(화),시작(수),마감(수),시작(목),마감(목),시작(금),마감(금),시작(토),마감(토),시작(일),마감(일),시작(공휴일),마감(공휴일),일요일운영,공휴일운영,야간운영(월),야간운영(화),야간운영(수),야간운영(목),야간운영(금),야간운영(토),야간운영(일),야간운영(공휴일)
3층하나약국,서울특별시 송파구 올림픽로35길 124  (신천동),02-412-3358,송파구,830,1900,830,1900,830,1900,830,1900,830,1900,900,1500,930,1700,930,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
다올약국,서울특별시 용산구 청파로 251 지하 B02호 (청파동3가),02-702-7083,용산구,900,1900,900,2000,900,2000,900,1900,900,1900,900,1400,1000,2000,1000,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3층한사랑약국,서울특별시 서초구 반포대로 287,02-592-5775,서초구,900,1830,900,1830,900,1830,900,1830,900,1830,900,1400,930,1700,930,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
다정약국,서울특별시 성북구 서경로 27 1층,02-915-3588,성북구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1500,1100,1800,900,1300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
대경약국,서울특별시 마포구 상암산로 34 1층 (상암동),070-8718-2333,마포구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1530,900,2100,900,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
21세기메디칼약국,서울특별시 성동구 무수막길 97  (금호동2가),02-2252-6626,성동구,830,2100,830,2100,830,2100,830,2100,830,2100,830,2100,1000,1600,900,1330,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
4층다나약국,서울특별시 관악구 관악로 195 4층 408호 (봉천동 관악위버폴리스),02-878-9529,관악구,900,1830,900,1830,900,1830,1400,1830,900,1830,900,1300,930,1700,930,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
더조은약국,서울특별시 강서구 곰달래로49길 29 산호빌딩 103호 (화곡동),02-2699-7007,강서구,900,1930,900,1930,900,1930,900,1930,900,1930,900,1500,830,1230,1200,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
동방약국,서울특별시 강서구 강서로 186 (화곡동),02-2605-4250,강서구,830,2100,830,2100,830,2100,830,2100,830,2100,830,1630,900,1300,800,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
동성약국,서울특별시 구로구 디지털로19길 51,02-854-3357,구로구,930,2130,930,2130,930,2130,930,2130,930,2130,930,2130,830,2200,830,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
동산약국,서울특별시 은평구 통일로87길 5 (갈현동),02-353-5006,은평구,900,1730,900,1730,900,1730,900,1730,900,1730,900,2100,1500,1900,1000,1900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
가까운이화약국,서울특별시 송파구 강동대로 74 잠실올림픽아이파크상가 1층 108호 지층 B103호 (풍납동),02-489-4383,송파구,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300,1300,2100,1300,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
4층현약국,서울특별시 동대문구 천호대로 425 (장안동),02-2245-3015,동대문구,930,1800,930,1800,930,1800,930,1800,930,1800,930,1400,930,1700,930,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
505약국,서울특별시 구로구 구로동로42길 58 (구로동),02-856-5050,구로구,900,1830,900,1830,900,1830,900,1830,900,1830,900,1800,930,1700,900,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
만약국,서울특별시 강남구 도산대로53길 13 1층 (신사동),02-2039-7862,강남구,930,1830,930,1830,930,1830,930,1830,930,1830,930,1330,1100,2100,900,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
5층사랑약국,서울특별시 중구 서소문로 103 배재빌딩 511호 (서소문동),02-6933-5177,중구,830,1900,830,1900,830,1900,830,1900,830,1900,900,1800,930,1700,900,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
명문온누리약국,서울특별시 동대문구 사가정로 225 1층 (장안동),02-2212-8881,동대문구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800,900,1900,1530,2130,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
5층엔약국,서울특별시 관악구 신림로 350 5층 (신림동 서원프라자 태영아파트),02-877-3080,관악구,830,1830,830,1830,830,1830,830,1830,830,1830,830,1400,930,1700,900,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
무궁화약국,서울특별시 중랑구 면목로 303  (면목동),02-2207-6709,중랑구,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,830,2100,900,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
민들레약국,서울특별시 서초구 강남대로30길 58 1층 (양재동),02-575-1233,서초구,930,2100,930,2100,930,2100,930,2100,930,2100,1000,1800,900,2000,900,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
21세기상계약국,서울특별시 노원구 동일로 1548 (상계동),02-937-2288,노원구,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,1000,1900,900,1330,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
가까운천사약국,서울특별시 강서구 공항대로36길 9 1층 (내발산동),02-2662-0266,강서구,830,1830,830,1830,830,1830,830,1830,830,1830,900,1330,1300,2100,1300,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
7번약국,서울특별시 강북구 도봉로 339 1층 (수유동),02-904-7773,강북구,900,2500,900,2500,900,2500,900,2500,900,2500,900,2500,1230,2500,1230,2500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
보라매온누리약국,서울특별시 동작구 보라매로 93 (신대방동),02-812-4881,동작구,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,1600,900,1900,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
보람약국,서울특별시 송파구 위례성대로 136 (방이동),02-415-4809,송파구,900,1800,900,1800,900,1800,900,1800,900,1800,900,1200,900,1300,900,1300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21세기신천지약국,서울특별시 영등포구 영등포로 232-1,02-2678-3222,영등포구,800,2000,800,2000,800,2000,800,2000,800,2000,900,1900,1000,1900,900,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
보현약국,서울특별시 서초구 방배로13길 7 (방배동),02-584-6471,서초구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,1000,1900,900,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
가까운행복약국,서울특별시 성북구 고려대로13길 8 1층 (안암동2가),02-928-4545,성북구,800,1800,800,1800,800,1800,800,1800,800,1800,800,1300,1300,2100,1300,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
비타민약국,서울특별시 구로구 구로동로 115 청보빌딩 지하1층 (구로동),02-864-7508,구로구,800,2000,800,2000,800,2000,800,2000,800,2000,800,1500,900,1600,900,1600,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7층애약국,서울특별시 강남구 테헤란로78길 8 7층 일부(대치동 현빌딩),02-567-0409,강남구,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,900,2500,1230,2500,1230,2500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
사거리우리약국,서울특별시 강북구 한천로 962 1층 (번동),02-900-6869,강북구,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300,1100,1800,1100,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
삼원약국,서울특별시 종로구 새문안로 103-1 1층 (신문로1가),02-739-9302,종로구,830,2030,830,2030,830,2030,830,2030,830,2030,900,1800,1000,2100,900,1800,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
21세기약국,서울특별시 광진구 용마산로 49 (중곡동),02-2201-9469,광진구,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1300,1000,1900,900,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21세기약국,서울특별시 영등포구 여의대방로 177  (신길동),02-2678-2854,영등포구,830,2100,830,2100,830,2100,830,2100,830,2100,830,2100,1000,1900,900,1800,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
7형제약국,서울특별시 강동구 진황도로 179 1층 (둔촌동),02-478-9855,강동구,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,1230,2500,1230,2500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2층바른약국,서울특별시 중구 다산로11길 3 약수JK빌딩 2층 (신당동),02-2233-6267,중구,900,1900,900,1900,900,2000,900,1900,900,1900,900,1500,1000,1900,900,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8번가위드팜약국,서울특별시 서대문구 성산로 515 석란 1층 (대신동),02-313-4588,서대문구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400,1230,2500,1230,2500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2층소망약국,서울특별시 양천구 월정로 50 209호 (신월동 청솔아파트),02-2608-8096,양천구,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300,1000,1900,900,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2층써밋약국,서울특별시 용산구 한강대로 69 상가동 2층 222-2호 (한강로2가 용산푸르지오써밋),02-797-8920,용산구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400,1000,1900,900,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
성모제일약국,서울특별시 은평구 통일로 1030 은평헤스티아 102 202호 (진관동),02-000-0000,은평구,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,930,1900,1000,1900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
선경약국,서울특별시 강북구 도봉로77길 9 1층 (수유동),02-6497-7798,강북구,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300,1100,2000,900,1500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
선능약국,서울특별시 강남구 봉은사로54길 9,02-555-8475,강남구,830,1900,830,1900,830,1900,830,1900,830,1900,900,1400,1100,2000,900,1500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2층은약국,서울특별시 동작구 현충로 75 원불교100년기념관 (흑석동),02-6484-8248,동작구,915,1900,915,2100,915,1900,915,2100,915,2030,915,1500,1000,1900,900,1800,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2층종로약국,서울특별시 은평구 통일로 856 메트로타워 2층 2101~2103호 (불광동),02-525-5603,은평구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1400,1000,1900,900,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
가까운현대약국,서울특별시 강북구 한천로132길 28 (번동),02-6405-5452,강북구,900,2100,900,2100,900,2100,900,2100,900,2100,900,1500,1300,2100,1300,2100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
세일약국,서울특별시 중랑구 면목로45길 36 (면목동),02-434-3991,중랑구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,1000,1800,930,1900,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
8층약국,서울특별시 서초구 서초중앙로 125 로이어즈타워 8층 803호 (서초동),02-582-8885,서초구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600,1230,2500,1230,2500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
송약국,서울특별시 영등포구 디지털로 413 101호 송약국 (대림동),02-841-8885,영등포구,930,1830,930,1830,930,1830,930,1830,930,1830,930,1330,1000,1830,830,1400,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
가나안약국,서울특별시 중랑구 봉우재로 39 (면목동),02-434-9259,중랑구,900,2230,900,2230,900,2230,900,2230,900,2230,900,2130,1300,2100,900,2130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
시온약국,서울특별시 강동구 고덕로 399 메가스퀘어1동 214호 (고덕동 고덕센트럴푸르지오),02-426-2527,강동구,800,1900,800,1900,800,1900,800,1900,800,1900,900,1400,900,2100,900,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
신공덕약국,서울특별시 마포구 백범로 212 2층 (신공덕동 대우 월드마크마포),02-715-2483,마포구,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DMC 허준약국,서울특별시 종로구 송월길 99 201동 1층 2146호 (홍파동 경희궁자이 2단지),02-302-1550,종로구,930,1900,930,1900,930,1900,930,1900,930,1900,930,1500,1230,2500,1230,2500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
신정제약국,서울특별시 용산구 한강대로 50 (한강로3가 신정재약국),02-794-9833,용산구,900,2100,900,2100,900,2100,900,2100,900,2100,900,1700,1600,2200,900,2230,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
가나약국,서울특별시 은평구 서오릉로 46,02-352-5088,은평구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300,1300,2100,900,2130,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
신보광사약국,서울특별시 은평구 통일로 725-2 (대조동),02-355-4347,은평구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2000,1030,1800,1030,1800,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2층즐거운약국,서울특별시 강서구 양천로 559 가양이마트 2층 (가양동),02-3664-0420,강서구,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
가든건강약국,서울특별시 송파구 충민로 52 가든파이브웍스 S동 307호 (문정동),02-2047-1140,송파구,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,1700,1000,1700,1000,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2층하늘약국,서울특별시 마포구 월드컵북로 230 201호 (중동 현대상가),02-303-4290,마포구,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400,1000,2100,1000,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
아이팜약국,서울특별시 성북구 길음로 103 304호 (길음동 대우상가),02-911-0175,성북구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300,900,1400,930,1330,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
아침온누리약국,서울특별시 구로구 개봉로20길 54 원진환경(주) 1층 (개봉동),070-7633-3870,구로구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400,900,1400,930,1330,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
아이비하늘약국,서울특별시 영등포구 국제금융로 86,02-786-7087,영등포구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400,900,1700,900,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
아이파크약국,서울특별시 강동구 동남로79길 26 상가동 101호 (고덕동 고덕아이파크),02-481-9588,강동구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600,900,1300,900,1300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
아현새서울약국,서울특별시 서대문구 신촌로37길 16 가동 1층 (북아현동),02-365-2158,서대문구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600,1000,2100,1000,2300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
엘림약국,서울특별시 관악구 신림로 322 (신림동),02-876-3304,관악구,900,2200,900,2200,900,2200,900,2200,900,2040,900,2200,1000,1300,1000,1600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
역삼라이프약국,서울특별시 강남구 테헤란로25길 59 지하1층 (역삼동),02-554-6881,강남구,930,1930,930,1930,930,1930,930,1930,930,1930,930,1500,930,1400,1000,1600,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMC하늘약국,서울특별시 마포구 월드컵북로 361  (상암동),02-483-1457,마포구,930,1930,930,1930,930,1930,930,1930,930,1930,930,1500,1230,2500,1230,2500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2호선아산나나약국,서울특별시 송파구 오금로 20 잠실나루역 1층 002호 (신천동),02-417-3222,송파구,830,1830,830,1830,830,1830,830,1830,830,1830,930,1400,1000,2100,1000,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
온누리센터원약국,서울특별시 중구 을지로5길 26,02-6030-8952,중구,900,1830,900,1830,900,1830,900,1830,900,1830,1030,2200,1300,2100,1300,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
우리들약국,서울특별시 서초구 서초중앙로 230 105 (반포동동화반포프라자빌딩),02-537-9286,서초구,900,2230,900,2230,900,2230,900,2230,900,2230,900,2230,900,2230,900,2300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
E-삼성약국,서울특별시 강남구 일원로 53 (일원동),02-3412-1254,강남구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300,1230,2500,1230,2500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
365구생약국,서울특별시 은평구 통일로 739 1층 (대조동),02-353-1144,은평구,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,1000,2200,1000,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
유성약국,서울특별시 종로구 동호로 408,02-2263-9666,종로구,830,1930,830,1930,830,1930,830,1930,830,1930,830,1930,900,2100,830,1930,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
월성약국,서울특별시 강서구 강서로17길 141 (화곡동),02-2602-0774,강서구,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,1030,2030,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
우리헬리오약국,서울특별시 송파구 송파대로 345 1A동 4층 4011호 (가락동 헬리오시티),02-6396-7588,송파구,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400,1000,2200,1000,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
은혜약국,서울특별시 서초구 신반포로 41  (반포동),02-533-9939,서초구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1630,1500,2000,1400,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
이대5번출구옵티마진룡약국,서울특별시 마포구 대흥로30길 15 1층 (염리동),02-000-0000,마포구,900,2030,900,2030,900,2030,1400,1600,900,2030,900,1700,1200,1900,1400,2100,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
일신약국,서울특별시 강서구 강서로 259 103호 (내발산동 우장산역엠버리움빌딩),02-2601-4308,강서구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1700,900,2000,1000,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
365그린약국,서울특별시 강서구 강서로 43 B104호 (화곡동 도양라비앙타워),02-2602-8006,강서구,900,2200,900,2200,900,2200,900,2200,900,2200,900,1700,1000,2200,900,1300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
일송약국,서울특별시 광진구 광나루로 606,02-452-5682,광진구,930,2000,930,2000,930,2000,930,2000,930,2000,930,1400,1000,1730,1000,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
